Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Email,United States,Deskside,MAC - Outlook (desktop)  -  Application issues- Connecting Mac to a hotspot  ,Y,22-09-2022,Incident,mac  outlook desktop    application issues,mac   outlook desktop     application issue,mac outlook desktop application issue
AM,Laptop,United States,Deskside,Alix Tanico - Hardware Issue - Laptop - Computer's disk space is almost full ,Y,02-11-2022,Incident,alix tanico  hardware issue  laptop  compute,alix tanico   hardware issue   laptop   compute,alix tanico hardware issue laptop compute
AM,,United States,Deskside,BAC Compliance Checking at Login,Y,26-09-2022,Incident,                  bac compliance checking at login,                   bac compliance check at login,bac compliance check
AM,,United States,Deskside,Reported Issue - Application - ,Y,23-09-2022,Incident,                   reported issue  application  ,                    report issue   application  ,report issue application
AM,,United States,Deskside,Reported Issue - Application - Desktop needs to cleaned up. Files and folders/File Explorer - Deskside support.,Y,28-09-2022,Incident,reported issue  application  desktop needs to,report issue   application   desktop need to,report issue application desktop need
AM,Windows / OS,United States,Deskside, users pc screen is broken ,Y,13-10-2022,Incident,                        users pc screen is broken ,                         user pc screen be break,user pc screen
AP,Email,Australia,Deskside, unable to save email to N drive - INC1117193,Y,25-09-2022,Incident,      unable to save email to n drive  inc1117193,       unable to save email to n drive   inc1117193,n drive inc1117193
AM,Windows / OS,United States,Deskside,Server - Fiery Driver Updater.exe Pop-Up,Y,23-09-2022,Incident,          server  fiery driver updaterexe popup,           server   fiery driver updaterexe popup,fiery driver updaterexe popup
AM,,United States,Deskside,Reported Issue - Application - ,Y,27-09-2022,Incident,                   reported issue  application  ,                    report issue   application  ,report issue application
AM,,United States,Deskside,No power options available ,Y,23-09-2022,Incident,                       no power options available ,                        no power option available,power option
AP,,,Deskside,P3 - Bangalore Main - inblr01nrtp002 - DMVPN Tunnel - The interface you want to monitor is disconnected,Y,23-09-2022,Incident,p3  bangalore main  inblr01nrtp002  dmvpn tu,p3   bangalore main   inblr01nrtp002   dmvpn tu,p3 bangalore main inblr01nrtp002 dmvpn tu
AM,,United States,Deskside,Computer - Lost Admin Rights ,Y,28-10-2022,Incident,                     computer  lost admin rights ,                      computer   lose admin right,
AM,Windows / OS,United States,Deskside,connectivitty issue to internet ,Y,27-09-2022,Incident,                  connectivitty issue to internet ,                   connectivitty issue to internet,connectivitty issue
AP,Email,Singapore,Deskside,Outlook Email not sent,Y,23-09-2022,Incident,                            outlook email not sent,                             outlook email not send,outlook email
AP,Windows / OS,India,Deskside,inblr03l572 â€“ Unable to boot into Windows,Y,23-09-2022,Incident,       inblr03l572 â unable to boot into windows,        inblr03l572 â unable to boot into window,inblr03l572 â
AP,Email,India,Deskside,Email Issues,Y,28-09-2022,Incident,                                      email issues,                                       email issue,email issue
AP,Windows / OS,India,Deskside,Windows Configuration,Y,26-09-2022,Incident,                             windows configuration,                              window configuration,window configuration
AP,,India,Deskside,Application issue,Y,10-10-2022,Incident,                                 application issue,                                  application issue,application issue
AP,Active Directory,Hong Kong,Deskside,Account frequent lock,Y,10-10-2022,Incident,                             account frequent lock,                              account frequent lock,frequent lock
AM,,,Deskside,P3 Incident - uscohrtr01 - Gi0/0/0 - Ping down,Y,27-09-2022,Incident,    p3 incident  uscohrtr01  gi000  ping down,     p3 incident   uscohrtr01   gi000   ping down,p3 incident uscohrtr01 gi000
AP,Windows / OS,India,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident,                           windows troubleshooting,                            window troubleshooting,
AP,,India,Deskside,Airtel dongle is not working properly,Y,20-10-2022,Incident,             airtel dongle is not working properly,              airtel dongle be not work properly,airtel dongle
AM,,United States,Deskside,Reported Issue - Application - Photoshop,Y,26-09-2022,Incident,          reported issue  application  photoshop,           report issue   application   photoshop,report issue application photoshop
AM,Windows / OS,United States,Deskside,Software issues - Admin rights,Y,23-09-2022,Incident,                    software issues  admin rights,                     software issue   admin right,software issue admin
AP,Network,India,Deskside,Network Issues,Y,07-10-2022,Incident,                                    network issues,                                     network issue,network issue
AM,Email,Canada,Deskside,Outlook Email - Retrieve folder ,Y,27-09-2022,Incident,                  outlook email  retrieve folder ,                   outlook email   retrieve folder,outlook email retrieve folder
