resolver grp,summary,num,prio
Linux Support,Alert: CPU Utilization on tcmqa02-ws01.tcmis.com is Critical,INC0115475,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on VALFILE01V is : 97 %,INC0115476,3 - Moderate
Linux Support,Alert: Memory Utilization on tcmdev03-ws01.haasgroupintl.com is in Critical,INC0115477,3 - Moderate
Windows Support,Alert: CPU Utilization on GBVVSDV0 is Critical	,INC0115479,2 - High
Windows Support,ALERT: Critical disk utilization in GBVVSML1,INC0115480,2 - High
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on pajow-dfs01 is in a current state of: Down,INC0115481,2 - High
Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,INC0115482,2 - High
Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,INC0115484,2 - High
Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,INC0115485,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 96 %,INC0115486,3 - Moderate
Network Support,Network Device _Memory utilization_Critical,INC0115490,3 - Moderate
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXNL-PRNT01 is in a current state of: Down,INC0115491,2 - High
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODAPP2 is in a current state of: Down,INC0115492,2 - High
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-BIPRD-PUB02 is in a current state of: Down,INC0115493,2 - High
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-ECOMWEB1 is in a current state of: Down,INC0115494,2 - High
Windows Support,Critical ALERT:  GROUP ALERT: Group is Down - APPLICATION - Qlik View,INC0115495,2 - High
Windows Support,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N1 is in a current state of: Down,INC0115497,2 - High
Windows Support,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N2 is in a current state of: Down,INC0115498,2 - High
Windows Support,Critical ALERT:  A eCommerce url component  on G-ECOMWEB1 is in a current state of: Down,INC0115499,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SALES_4_CORNER_DASHBOARD.QVW transaction state is Down,INC0115501,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_FORECAST_ACCURACY.QVW transaction state is Down,INC0115502,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - sca_customer_alignment.qvw transaction state is Down,INC0115503,2 - High
Windows Support,Critical ALERT:  A ecommerce component  on G-ECOMWEB1 is in a current state of: Down,INC0115504,2 - High
Windows Support,Critical ALERT:  A eCommerce url component  on G-ECOMWEB1 is in a current state of: Down,INC0115505,2 - High
Business Intelligence  Support ,WPM Critical Alert : A qlikview transaction state is Down,INC0115507,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SCA_Supplier_Scorecard transaction state is Down,INC0115508,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_Delivery_Assurance_Dashboard transaction state is Down,INC0115509,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_LOB_ALL.QVW transaction state is Down,INC0115510,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview _Access Point - HAAS ON TIME DELIVERY OOR OTD.QVW transaction state is Down,INC0115511,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - HARDWARE OPEN ORDERS.QVW transaction state is Down,INC0115512,2 - High
Windows Support,Critical ALERT:  A ecommerce component  on G-ECOMWEB1 is in a current state of: Down,INC0115513,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SIOP_OTD_Dashboard transaction state is Down,INC0115514,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview _Access Point - SIOP_Forecast_Viewer transaction state is Down,INC0115515,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - INCORACHEM_ANYDOC_FILEBOUND_VOUCHERED_DASHBOARD.QVW transaction state is Down,INC0115516,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - sca_buy_reqs.qvw transaction state is Down,INC0115517,2 - High
Business Intelligence  Support ,WPM Critical Alert : A Qlikview_Access Point - SCA_Procurement transaction state is Down,INC0115518,2 - High
Windows Support,Alert: CPU Utilization on AUS-BI01 is Critical	,INC0115519,2 - High
Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 95 %,INC0115521,3 - Moderate
Windows Support,Critical Alert: Memory Utilization on VALFILE01V is : 99 %,INC0115522,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on VALFILE01V is : 97 %,INC0115523,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,INC0115524,3 - Moderate
Windows Support,Alert: CPU Utilization on IESPRODFRS is Critical	,INC0115525,2 - High
Windows Support,ALERT: DISK SPACE on GBVVSML5-C:\ Label: 26AAB525 has currently 9 % is available,INC0115527,4 - Low
Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 95 %,INC0115528,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on GBISRFC1 is : 94 %,INC0115529,3 - Moderate
Windows Support,Critical ALERT:  A Commander (label printing server) Monitoring component  on   CAV-CMDR01 is in a current state of: Down,INC0115534,3 - Moderate
JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down,INC0115537,2 - High
JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted,INC0115540,4 - Low
JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted,INC0115541,4 - Low
Windows Support, NODE ALERT: INBA-DC1 is Down,INC0115543,2 - High
JDE CNC Technical,Alert: Memory Utilization on GJDEWEB01 is in warning,INC0115546,3 - Moderate
Network Support,TIER 1 - CRITICAL ALERT: CN-SHA-4351-R01.wescoaircraft.com is Down,INC0115548,2 - High
Network Support,TIER 1 - CRITICAL ALERT: CN-SHAWH-C1111-R01.wescoaircraft.com is Down,INC0115549,2 - High
Network Support,TIER 3 - Critical Device Down: CN-SUZ-C1111-R01.wescoaircraft.com is Down,INC0115550,3 - Moderate
Network Support,TIER 3 - Critical Device Down: CN-XIA-C1111-R01.wescoaircraft.com is Down,INC0115551,3 - Moderate
Network Support,TIER 2 - Non-Critical Device Down: CN-CHE-C1111-R01.wescoaircraft.com is Down,INC0115553,2 - High
